60018 G,uimar-T,enerife,Observat,ions at,00Z 01,Dec-20,19,,,
,,,,,,,,,,
-------,-------,-------,---------,-------,-------,-------,-----,-------,-------,-------
PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
-------,-------,-------,---------,-------,-------,-------,-----,-------,-------,-------
1008,105,19.8,17.2,85,12.4,85,6,292.3,327.6,294.5
1000,187,19.2,16.8,86,12.18,75,6,292.4,327.1,294.5
962,518,16.1,15.5,96,11.63,10,0,292.4,325.6,294.5
954,590,15.4,15.2,99,11.51,15,1,292.5,325.3,294.5
952,608,15.8,12.4,80,9.59,17,1,293,320.6,294.7
949,635,21.2,-0.8,23,3.82,19,1,298.8,310.5,299.5
948,644,21.8,-0.2,23,3.99,19,1,299.5,311.8,300.2
925,856,21,-3,20,3.33,35,4,300.8,311.2,301.4
850,1579,15.8,-3.2,27,3.57,110,6,302.7,313.9,303.3
711,3057,2.8,-5.2,56,3.67,55,6,304.2,315.7,304.9
707,3102,4,-23,12,0.86,53,6,306,309,306.2
700,3183,3.8,-28.2,8,0.54,50,6,306.7,308.6,306.8
695,3241,3.8,-32.2,5,0.37,45,7,307.3,308.6,307.4
686,3345,3.1,-32.3,5,0.37,35,10,307.7,309.1,307.8
676,3462,2.4,-32.5,6,0.37,40,12,308.2,309.5,308.2
617,4189,-2.2,-33.5,7,0.37,55,10,311,312.4,311.1
569,4833,-6.3,-34.3,9,0.37,9,8,313.5,314.9,313.6
552,5070,-7.7,-24.7,24,0.94,351,8,314.6,317.9,314.8
522,5501,-11.3,-21.3,43,1.34,320,7,315.3,320,315.6
500,5830,-13.5,-33.5,17,0.46,295,6,316.5,318.2,316.6
496,5891,-14.1,-34.1,17,0.43,303,8,316.5,318.1,316.6
487,6027,-15.3,-33.7,19,0.46,320,12,316.7,318.4,316.8
479,6150,-16.4,-33.3,22,0.48,295,10,316.8,318.6,316.9
416,7197,-25.9,-30.2,67,0.75,314,4,317.7,320.4,317.8
413,7249,-26.4,-31.2,64,0.69,315,4,317.7,320.2,317.8
406,7373,-27.5,-33.5,57,0.56,302,7,317.8,319.9,317.9
402,7444,-27.5,-44.5,18,0.18,294,9,318.7,319.4,318.7
400,7480,-27.7,-43.7,20,0.2,290,10,318.9,319.7,318.9
391,7643,-28.5,-50.9,10,0.09,250,12,319.9,320.3,320
382,7810,-29.3,-58.3,4,0.04,251,13,321,321.2,321
361,8203,-32.1,-60.2,4,0.03,255,17,322.4,322.6,322.4
339,8640,-35.3,-62.4,5,0.03,275,16,323.9,324.1,324
300,9490,-41.5,-66.5,5,0.02,275,27,326.8,326.8,326.8
262,10389,-47.9,-68.4,8,0.01,290,33,330.3,330.4,330.3
250,10700,-50.1,-69.1,9,0.01,290,27,331.4,331.5,331.4
243,10885,-51.5,-69.5,10,0.01,296,27,332.1,332.1,332.1
229,11268,-52.7,-71.3,9,0.01,310,25,336,336,336
200,12140,-55.3,-75.3,7,0.01,285,29,345,345.1,345
199,12172,-55.4,-75.5,7,0.01,285,29,345.4,345.4,345.4
