60018 G,uimar-Te,nerife,Observat,ions at,00Z 01,Dec-20,21,,,
,,,,,,,,,,
-------,--------,------,---------,-------,-------,-------,------,------,-------,-------
PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
-------,--------,------,---------,-------,-------,-------,------,------,-------,-------
1011,105,16.6,10.6,68,7.99,290,4,288.9,311.6,290.2
1007,144,18,10,60,7.71,312,5,290.6,312.7,291.9
1000,213,17.6,11.6,68,8.65,350,8,290.8,315.5,292.3
989,307,16.8,11.4,70,8.6,5,10,290.9,315.5,292.4
958,576,14.5,10.7,78,8.48,40,12,291.2,315.5,292.7
925,873,12,9.9,87,8.34,30,10,291.6,315.5,293
850,1575,6.6,4.4,86,6.2,30,8,293.1,311.2,294.1
838,1692,5.8,4.5,91,6.34,30,9,293.4,311.9,294.5
833,1741,5.7,2.6,81,5.58,30,10,293.8,310.2,294.8
816,1909,5.3,-3.9,52,3.54,55,12,295.1,305.9,295.8
811,1959,5.2,-5.8,45,3.07,40,10,295.5,304.9,296.1
807,2000,5.4,-4.6,49,3.38,28,9,296.1,306.5,296.8
801,2061,6.8,-14.2,21,1.6,10,8,298.3,303.4,298.6
777,2309,5.8,-18.5,15,1.15,295,2,299.8,303.6,300
751,2587,4.6,-23.4,11,0.78,285,3,301.4,304.1,301.6
729,2828,2,-6,55,3.37,277,4,301.2,311.6,301.8
721,2917,2,-26,10,0.64,274,5,302.1,304.3,302.2
700,3154,0.8,-28.2,9,0.54,265,6,303.3,305.2,303.4
663,3588,-1.5,-43.5,2,0.12,280,8,305.5,306,305.5
638,3889,-4,-36.5,6,0.27,290,10,306,307,306.1
618,4138,-6.1,-30.6,12,0.49,310,12,306.4,308.2,306.5
583,4595,-9.9,-19.9,44,1.36,300,13,307.1,311.7,307.4
551,5026,-13.8,-25.4,37,0.88,290,14,307.6,310.6,307.7
545,5110,-14.5,-26.5,35,0.81,291,15,307.6,310.4,307.8
534,5265,-14.3,-39.3,10,0.24,292,17,309.7,310.6,309.7
500,5760,-17.5,-36.5,17,0.34,295,23,311.6,312.9,311.7
499,5775,-17.7,-35.7,19,0.37,295,24,311.6,312.9,311.6
450,6537,-21.7,-50.1,6,0.09,310,41,315.9,316.2,315.9
417,7099,-24.7,-60.7,2,0.03,306,47,319,319.1,319
408,7257,-26,-60.4,2,0.03,305,49,319.4,319.5,319.4
400,7400,-27.1,-60.1,3,0.03,300,47,319.7,319.8,319.7
306,9262,-42.2,-69.6,3,0.01,280,41,323.9,324,324
300,9400,-43.3,-70.3,4,0.01,280,41,324.2,324.3,324.2
280,9855,-47.3,-71.5,5,0.01,270,45,325,325,325
252,10549,-53.3,-73.3,7,0.01,270,54,325.9,326,325.9
250,10600,-53.7,-73.7,7,0.01,270,54,326.1,326.1,326.1
235,10997,-55.9,-73.9,9,0.01,268,59,328.6,328.6,328.6
210,11711,-57.7,-74.2,10,0.01,265,66,336.5,336.6,336.5
202,11957,-58.3,-74.3,11,0.01,265,60,339.3,339.4,339.3
200,12020,-58.1,-74.1,11,0.01,265,62,340.6,340.6,340.6
