60018 G,uimar-T,enerife,Observat,ions at,00Z 01,Feb-20,18,,,
,,,,,,,,,,
-------,-------,-------,---------,--------,------,-------,-----,-------,-------,-------
PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
-------,-------,-------,---------,--------,------,-------,-----,-------,-------,-------
1005,105,14.8,7.8,63,6.65,35,0,287.5,306.5,288.7
1003,127,16,8,59,6.75,35,5,288.9,308.2,290.1
1000,160,16,8,59,6.77,35,12,289.1,308.6,290.3
993,219,15.6,7.5,59,6.59,35,16,289.3,308.2,290.5
975,373,14.5,6.2,57,6.12,25,12,289.7,307.4,290.8
953,566,13.2,4.5,56,5.59,345,16,290.3,306.5,291.2
925,817,11.4,2.4,54,4.94,350,25,291,305.4,291.8
872,1304,6.6,2.2,73,5.17,340,29,290.9,306,291.8
850,1513,5.2,-0.8,65,4.26,335,31,291.6,304.2,292.3
821,1796,3,-3,65,3.75,347,32,292.2,303.4,292.8
797,2035,1.4,-12.6,34,1.83,358,32,292.9,298.6,293.3
794,2066,1.2,-3.6,70,3.71,359,32,293,304.2,293.7
785,2157,1.4,-6.6,55,2.98,3,33,294.2,303.3,294.7
781,2199,2,-15,27,1.54,5,33,295.3,300.2,295.6
770,2312,1.5,-17.8,22,1.24,10,33,295.9,299.9,296.2
711,2951,-1.3,-33.3,7,0.33,10,25,299.7,300.8,299.7
700,3075,-2.3,-34.3,7,0.3,10,23,299.9,301,300
696,3119,-2.6,-34.6,6,0.29,10,23,300,301.1,300.1
612,4114,-10.2,-42.2,5,0.15,15,33,302.6,303.1,302.6
563,4759,-15.1,-47.1,5,0.1,0,43,304.1,304.5,304.1
502,5610,-22.8,-48.1,8,0.1,355,29,304.8,305.2,304.8
500,5640,-23.1,-48.1,8,0.1,355,29,304.8,305.2,304.8
477,5982,-26,-48.3,10,0.1,10,25,305.3,305.7,305.3
475,6012,-26.3,-48.3,11,0.1,8,25,305.4,305.8,305.4
450,6395,-29,-51.3,10,0.08,340,23,306.7,307,306.7
433,6668,-30.9,-53.5,9,0.06,355,27,307.7,307.9,307.7
418,6918,-32.7,-55.4,8,0.05,325,16,308.5,308.7,308.5
411,7038,-33.5,-56.4,8,0.05,310,19,308.9,309.1,308.9
400,7230,-34.9,-57.9,8,0.04,310,21,309.6,309.7,309.6
378,7620,-38.1,-59.9,8,0.03,305,21,310.4,310.5,310.4
365,7861,-40.1,-61.1,9,0.03,330,19,310.8,310.9,310.8
363,7899,-39.9,-62.9,7,0.02,329,22,311.6,311.7,311.6
344,8265,-41.3,-65.3,6,0.02,321,42,314.5,314.6,314.5
342,8305,-41,-66.6,5,0.01,320,45,315.4,315.5,315.4
334,8466,-39.9,-71.9,2,0.01,309,38,319.1,319.1,319.1
328,8588,-40.8,-72.3,2,0.01,300,33,319.5,319.5,319.5
306,9056,-44.3,-73.9,2,0.01,310,29,321,321,321
300,9190,-45.3,-74.3,2,0.01,325,31,321.4,321.4,321.4
298,9234,-45.6,-74.3,2,0.01,325,33,321.6,321.6,321.6
275,9764,-49.6,-75,4,0.01,310,37,323.3,323.4,323.3
