60018 G,uimar-T,enerife,Observat,ions at,00Z 01,Jan-20,19,,,
,,,,,,,,,,
-------,-------,-------,---------,--------,------,-------,-----,-------,-------,-------
PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
-------,-------,-------,---------,--------,------,-------,-----,-------,-------,-------
1009,105,13.8,-1.2,36,3.49,305,0,286.2,296.4,286.8
1006,134,17.8,-1.2,27,3.5,270,1,290.4,300.9,291.1
1001,184,19.2,-2.8,22,3.12,212,2,292.3,301.7,292.8
1000,194,19,-3,22,3.08,200,2,292.1,301.5,292.7
981,358,18.4,-4.6,21,2.78,192,6,293.1,301.6,293.6
964,506,17.3,-4.8,22,2.78,185,10,293.5,302,294
936,757,15.4,-5.2,24,2.78,200,14,294,302.5,294.5
925,857,14.6,-5.4,25,2.78,195,14,294.2,302.8,294.7
869,1379,10.2,-6.3,31,2.76,205,19,294.9,303.4,295.4
862,1446,9.6,-6.4,32,2.76,207,17,295,303.5,295.5
850,1562,9,-14,18,1.53,210,14,295.6,300.4,295.8
849,1572,9,-14,18,1.53,209,13,295.7,300.6,295.9
841,1650,10.1,-24.9,7,0.61,200,12,297.6,299.7,297.8
839,1670,10.4,-27.6,5,0.48,200,12,298.1,299.8,298.2
770,2373,6.5,-28.2,6,0.49,195,16,301.4,303.1,301.4
700,3153,2.2,-28.8,8,0.51,210,16,304.9,306.7,305
683,3350,1.1,-30.7,7,0.44,220,16,305.9,307.4,305.9
642,3844,-1.5,-35.5,5,0.29,199,17,308.3,309.4,308.4
637,3906,-1.1,-42.1,3,0.15,196,17,309.5,310,309.5
626,4043,-2.3,-40.8,3,0.17,190,17,309.7,310.3,309.7
599,4388,-5.3,-37.5,6,0.25,215,17,310.1,311.1,310.2
561,4901,-9.7,-32.7,13,0.44,215,21,310.8,312.4,310.8
554,4997,-9.5,-48.5,3,0.08,215,21,312.1,312.4,312.1
527,5381,-11.7,-43.7,5,0.15,248,23,314,314.6,314
525,5410,-11.9,-43.4,5,0.16,250,23,314,314.6,314.1
500,5780,-14.9,-39.9,10,0.24,250,29,314.8,315.7,314.9
487,5976,-16.7,-40.1,11,0.24,245,29,315,315.9,315.1
437,6780,-23.9,-40.9,19,0.25,263,35,315.8,316.7,315.8
432,6864,-24.5,-47.5,10,0.12,265,35,316,316.5,316.1
427,6949,-25.1,-35.1,39,0.46,267,36,316.3,318,316.4
418,7103,-26.2,-36.5,37,0.4,270,37,316.8,318.3,316.9
400,7420,-28.5,-39.5,34,0.31,260,41,317.9,319.1,317.9
321,8955,-41.7,-49.7,41,0.13,260,45,320.2,320.7,320.2
300,9410,-45.1,-57.1,25,0.06,260,47,321.7,321.9,321.7
288,9679,-47.4,-59.7,23,0.04,265,45,322.2,322.4,322.3
270,10104,-50.9,-63.9,20,0.03,251,50,323.1,323.2,323.1
269,10128,-51.1,-63.9,20,0.03,250,51,323.1,323.2,323.1
250,10600,-55.3,-64.3,32,0.03,255,54,323.7,323.8,323.7
235,10990,-58.3,-66.8,33,0.02,265,56,324.9,325,324.9
