60018 G,uimar-T,enerife,Observ,ations a,t 00Z 01,Jan-20,20,,,
,,,,,,,,,,
-------,-------,-------,-------,--------,--------,-------,-----,-------,-------,-------
PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
-------,-------,-------,-------,--------,--------,-------,-----,-------,-------,-------
1013,105,14.8,8.8,67,7.06,285,6,286.9,306.9,288.1
1012,114,15.8,11.4,75,8.43,286,6,288,311.8,289.4
1010,132,17.6,14.1,80,10.11,288,5,289.9,318.6,291.7
1000,225,16.8,14.2,85,10.28,300,4,289.9,319.1,291.7
992,294,16.2,13.9,86,10.16,319,3,290,318.8,291.8
986,345,16.4,9.4,63,7.56,334,3,290.7,312.4,292
974,449,16.2,10.2,68,8.08,3,2,291.5,314.8,293
972,467,16.8,2.8,39,4.84,8,2,292.3,306.6,293.2
967,511,16.9,0.6,33,4.16,20,2,292.8,305.2,293.6
961,564,17,-2,27,3.45,29,3,293.5,303.9,294.1
925,887,14,-3,31,3.33,85,8,293.6,303.7,294.2
913,997,13.2,-4.8,28,2.94,89,7,293.9,302.9,294.4
850,1596,12.6,-13.4,15,1.61,110,4,299.3,304.5,299.6
841,1685,12.2,-13.8,15,1.57,117,6,299.8,304.9,300.1
824,1856,12.6,-17.8,10,1.15,130,10,302,305.8,302.2
814,1958,12.8,-20.2,8,0.95,126,10,303.3,306.5,303.4
738,2772,8.2,-40.8,2,0.15,98,11,306.9,307.4,306.9
719,2986,7.3,-34.8,3,0.28,90,12,308.2,309.2,308.2
700,3206,6.4,-28.6,6,0.52,100,12,309.5,311.4,309.6
683,3405,5.3,-29.1,6,0.51,120,12,310.5,312.3,310.6
669,3573,4.4,-29.5,6,0.5,125,16,311.3,313.1,311.4
645,3870,2.8,-30.2,7,0.48,100,17,312.7,314.5,312.8
623,4151,1.2,-30.9,7,0.47,120,14,314.1,315.8,314.2
620,4190,1,-31,7,0.47,120,14,314.3,316,314.4
543,5236,-8.7,-28.7,18,0.66,124,20,314.9,317.2,315
525,5495,-10.5,-34.2,12,0.41,125,21,315.7,317.3,315.8
500,5870,-13.1,-42.1,7,0.19,130,10,317,317.8,317
497,5915,-13.4,-42.5,7,0.18,130,10,317.1,317.8,317.2
458,6519,-18.1,-48.7,5,0.1,120,19,318.8,319.2,318.8
442,6782,-20.2,-51.4,4,0.08,130,21,319.4,319.8,319.4
423,7107,-22.7,-54.7,4,0.05,135,19,320.2,320.5,320.3
400,7520,-25.9,-58.9,3,0.03,155,10,321.2,321.4,321.2
392,7666,-26.6,-61.5,2,0.02,200,4,322.2,322.3,322.2
388,7740,-26.9,-62.9,2,0.02,203,4,322.7,322.8,322.7
368,8120,-29.3,-41.3,30,0.28,220,3,324.5,325.6,324.5
326,8971,-37.3,-45.3,43,0.21,259,2,324.9,325.7,324.9
315,9206,-39.1,-48.8,35,0.14,270,2,325.6,326.1,325.6
300,9540,-41.7,-53.7,26,0.09,270,8,326.5,326.8,326.5
296,9630,-42.5,-54.2,27,0.08,270,10,326.6,327,326.6
287,9838,-44.3,-55.3,28,0.07,260,12,326.9,327.2,326.9
