60018 G,uimar-T,enerife,Observat,ions a,t 00Z 01,Mar-20,18,,,
,,,,,,,,,,
-------,-------,--------,--------,------,--------,-------,------,------,-------,-------
PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
-------,-------,--------,--------,------,--------,-------,------,------,-------,-------
1000,30,,,,,,,,,
990,105,19,11,60,8.39,240,8,293,317.2,294.5
986,140,20.4,10.4,53,8.09,239,9,294.7,318.3,296.2
975,238,19.8,9.8,52,7.84,235,12,295,318,296.4
961,364,18.9,8.9,52,7.52,205,10,295.4,317.5,296.8
925,697,16.8,6.8,52,6.74,250,12,296.5,316.4,297.7
916,780,16.1,6.6,54,6.73,265,12,296.6,316.5,297.8
892,1004,14.1,6.2,59,6.71,265,14,296.7,316.6,297.9
850,1412,10.4,5.4,71,6.66,215,12,297,316.8,298.2
845,1461,10.1,4.4,68,6.24,210,14,297.2,315.8,298.4
843,1481,10,4,66,6.08,210,14,297.3,315.4,298.4
840,1510,12,1,47,4.92,210,14,299.7,314.7,300.6
834,1570,12.2,-0.8,41,4.35,210,14,300.5,313.9,301.3
820,1711,10.9,-1.1,43,4.31,250,8,300.6,313.8,301.4
814,1772,10.3,-1.3,44,4.29,270,10,300.6,313.8,301.4
798,1936,8.7,-1.7,48,4.25,285,19,300.6,313.7,301.4
779,2136,6.8,-2.2,53,4.2,282,29,300.7,313.6,301.4
743,2522,4.8,-10.2,33,2.38,276,47,302.6,310.2,303
735,2610,6,-25,9,0.69,274,51,304.8,307.2,304.9
710,2892,4.3,-35.7,4,0.26,270,64,306,307,306.1
702,2984,3.8,-39.2,3,0.18,274,64,306.4,307.1,306.4
700,3007,3.8,-39.2,3,0.18,275,64,306.7,307.4,306.7
664,3434,2.6,-17.4,21,1.48,274,65,310,315,310.2
644,3681,3.4,-16.6,22,1.63,274,66,313.6,319.2,313.9
501,5655,-12.1,-25.1,33,1,270,70,318,321.6,318.2
500,5670,-12.3,-25.3,33,0.98,270,70,318,321.5,318.2
493,5778,-13.1,-26.1,33,0.93,265,70,318.4,321.7,318.5
487,5871,-13.7,-26.7,33,0.89,265,71,318.7,321.9,318.8
413,7105,-21.7,-42.7,13,0.22,265,83,323.7,324.6,323.8
400,7340,-23.7,-44.7,13,0.18,265,85,324.1,324.8,324.1
347,8345,-32.6,-47.9,20,0.14,265,91,325.5,326.1,325.5
304,9280,-40.9,-50.9,33,0.12,265,93,326.4,326.9,326.4
300,9370,-41.7,-47.7,52,0.17,265,93,326.5,327.2,326.5
299,9392,-41.9,-46.7,59,0.19,265,93,326.5,327.3,326.5
288,9644,-44.3,-47,74,0.19,266,96,326.6,327.4,326.6
270,10070,-48.1,-51.6,67,0.12,268,100,327.1,327.6,327.2
258,10366,-50.3,-53.7,67,0.1,269,103,328.2,328.6,328.2
250,10570,-51.5,-56.5,55,0.07,270,105,329.4,329.7,329.4
249,10596,-49.5,-70.5,7,0.01,272,106,332.7,332.8,332.7
248,10623,-46.1,-76.1,2,0,273,107,338.2,338.2,338.2
247,10650,-46,-76.2,2,0,275,109,338.8,338.8,338.8
