60018 G,uimar-T,enerife,Observat,ions at,00Z 01,Mar-20,19,,,
,,,,,,,,,,
-------,-------,--------,--------,-------,-------,-------,------,------,-------,-------
PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
-------,-------,--------,--------,-------,-------,-------,------,------,-------,-------
1014,105,15.8,10.8,72,8.08,140,6,287.8,310.7,289.2
1012,124,17,11,68,8.2,135,6,289.2,312.5,290.6
1000,238,16.2,10.2,68,7.87,105,10,289.4,311.8,290.7
964,547,13.5,9.2,75,7.61,105,10,289.6,311.4,291
955,625,12.8,8.9,77,7.54,105,10,289.7,311.3,291
925,894,10.4,8,85,7.32,110,4,289.9,310.9,291.2
878,1326,6.8,6.6,99,7.01,353,9,290.6,310.7,291.8
876,1345,7.4,4.6,82,6.1,348,9,291.4,309.1,292.4
875,1354,7.6,2.6,71,5.3,345,9,291.7,307.2,292.6
874,1364,11.2,-3.8,35,3.32,343,9,295.5,305.6,296.1
869,1412,14.6,-21.4,7,0.8,330,10,299.5,302.2,299.7
854,1559,14.2,-22.8,6,0.72,322,8,300.6,303.1,300.7
850,1598,14,-23,6,0.71,320,8,300.8,303.2,300.9
823,1868,11.4,-19.6,10,0.99,300,4,300.8,304.1,301
789,2218,9.8,-32.4,3,0.32,275,0,302.8,303.9,302.9
772,2399,9,-39,2,0.17,248,1,303.8,304.4,303.8
738,2770,7.8,-38.2,2,0.19,191,3,306.4,307.1,306.5
700,3203,4.8,-40.2,2,0.17,125,6,307.8,308.4,307.8
642,3900,0.2,-23.8,15,0.88,68,7,310.2,313.3,310.4
556,5030,-9.3,-17.3,52,1.78,333,9,312,318,312.4
537,5297,-11.6,-15.1,76,2.22,310,10,312.4,319.8,312.8
530,5398,-12.5,-14.2,87,2.42,306,10,312.5,320.5,312.9
500,5840,-15.3,-17.5,83,1.95,290,10,314.3,320.9,314.7
499,5855,-15.4,-17.6,83,1.93,290,10,314.4,320.9,314.8
457,6515,-19.7,-23.3,73,1.29,287,10,317,321.5,317.2
437,6842,-22.3,-25.6,75,1.1,285,10,317.8,321.6,318
400,7490,-27.5,-30.1,78,0.79,275,12,319.2,322,319.3
393,7615,-28.5,-31.5,75,0.7,265,12,319.5,322.1,319.6
370,8043,-31.9,-36.2,66,0.47,278,14,320.5,322.3,320.6
358,8274,-34.1,-36.5,79,0.47,285,16,320.5,322.3,320.6
351,8412,-35.5,-36.7,89,0.47,301,15,320.5,322.3,320.6
350,8431,-35.5,-39.3,68,0.36,303,14,320.8,322.2,320.9
345,8531,-36.1,-41.3,59,0.3,315,14,321.3,322.4,321.3
342,8591,-36.5,-42.5,54,0.27,310,14,321.6,322.6,321.6
330,8834,-38.7,-43.6,59,0.24,290,16,321.9,322.8,321.9
305,9369,-43.5,-46.2,75,0.2,278,17,322.4,323.2,322.4
302,9436,-43.9,-48.9,57,0.15,276,17,322.8,323.4,322.8
300,9480,-44.1,-47.3,70,0.18,275,17,323.1,323.8,323.1
298,9525,-44.5,-46.8,78,0.19,272,17,323.1,323.9,323.2
297,9548,-44.6,-49.2,60,0.15,270,17,323.3,323.9,323.3
