60018 G,uimar-Te,nerife,Observat,ions at,00Z 01,Mar-20,22,,,
,,,,,,,,,,
-------,--------,-------,--------,-------,-------,-------,------,------,-------,-------
PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
-------,--------,-------,--------,-------,-------,-------,------,------,-------,-------
1008,105,17.8,9.8,59,7.6,60,21,290.3,312.1,291.6
1006,125,18.1,8.7,54,7.08,40,12,290.7,311.1,292
1005,136,18.2,8.2,52,6.83,40,13,290.9,310.7,292.1
1000,187,17.4,8.4,55,6.96,40,19,290.6,310.6,291.8
977,385,16.4,6.8,53,6.4,45,17,291.5,310.1,292.6
959,544,15.6,5.6,51,5.98,6,16,292.2,309.7,293.3
953,597,15.8,3.8,45,5.3,352,16,292.9,308.6,293.9
952,606,16.8,1.8,36,4.6,350,16,294.1,307.8,294.9
951,615,17.8,-0.2,30,3.98,350,16,295.2,307.2,295.9
925,851,15.8,-1.2,31,3.8,350,16,295.5,307,296.1
850,1561,10.2,-8.8,25,2.32,15,31,296.8,304.1,297.2
843,1630,11,-12,19,1.82,17,32,298.4,304.2,298.7
811,1950,9.5,-9,26,2.4,25,39,300.1,307.7,300.5
792,2146,8.6,-7.1,32,2.85,15,35,301.1,310.1,301.6
781,2262,8,-6,36,3.14,18,32,301.7,311.6,302.3
759,2498,10.6,-32.4,3,0.33,24,26,307,308.2,307.1
722,2909,7.1,-32.8,4,0.34,35,16,307.6,308.9,307.7
700,3163,5,-33,4,0.34,25,19,308,309.2,308.1
675,3457,2.1,-32.9,5,0.36,30,17,308,309.3,308.1
667,3553,1.2,-32.8,6,0.37,35,18,308,309.3,308.1
656,3687,0.2,-19.8,21,1.22,41,18,308.3,312.5,308.6
641,3871,-1.3,-14.3,37,1.98,50,19,308.7,315.2,309.1
632,3984,-1.7,-16,33,1.75,55,19,309.4,315.3,309.8
620,4136,-2.3,-18.3,28,1.47,54,20,310.5,315.5,310.8
606,4317,-1.9,-22.9,18,1.01,52,20,313,316.5,313.2
500,5810,-13.9,-31.9,20,0.53,40,25,316,318,316.1
422,7072,-24.7,-39.7,24,0.29,17,28,317.9,319,318
406,7353,-26.7,-38.7,31,0.33,12,29,318.8,320.1,318.9
400,7460,-27.1,-41.1,25,0.26,10,29,319.7,320.7,319.7
358,8249,-33.5,-54.5,10,0.07,24,31,321.4,321.7,321.4
354,8326,-34.2,-54,12,0.07,25,31,321.5,321.8,321.5
313,9174,-41.9,-47.9,52,0.16,3,35,322.3,322.9,322.3
305,9349,-43.3,-54.3,29,0.08,358,36,322.7,323,322.7
300,9460,-44.3,-52.3,41,0.1,355,37,322.8,323.2,322.8
299,9482,-44.5,-51.5,45,0.11,355,37,322.8,323.3,322.9
285,9800,-47.3,-55.3,39,0.07,349,38,323.3,323.6,323.3
282,9870,-47.9,-58.9,27,0.05,348,38,323.4,323.6,323.4
276,10010,-49.1,-58.5,32,0.05,345,39,323.7,323.9,323.7
267,10226,-50.9,-57.9,43,0.06,348,38,324.1,324.4,324.1
263,10324,-51.5,-65.5,17,0.02,350,37,324.6,324.7,324.6
