60018 G,uimar-T,enerife,Observat,ions at,00Z 01,Nov-20,18,,,
,,,,,,,,,,
-------,-------,-------,---------,-------,-------,-------,-----,-------,-------,-------
PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
-------,-------,-------,---------,-------,-------,-------,-----,-------,-------,-------
1007,105,18,13.9,77,10,215,2,290.6,319,292.3
1000,181,19.8,13.8,68,10.01,315,2,292.9,321.7,294.7
925,848,14.2,12.1,87,9.67,220,6,293.8,321.7,295.5
873,1334,10.3,9.5,95,8.62,350,10,294.7,319.7,296.2
861,1450,9.4,8.9,97,8.38,345,13,294.9,319.3,296.4
860,1460,9.5,8.7,95,8.28,345,14,295.1,319.2,296.6
850,1557,10.4,6.8,78,7.34,355,14,297,318.7,298.3
845,1606,11.8,3.8,58,5.98,358,14,299,317,300.1
827,1786,11.2,2,53,5.36,10,17,300.2,316.5,301.2
795,2114,10.1,-1.4,45,4.36,345,17,302.4,315.9,303.2
780,2273,9.6,-3,41,3.93,0,21,303.5,315.8,304.2
775,2326,9.4,-3.6,40,3.8,7,20,303.9,315.8,304.6
758,2510,10.7,-24.9,6,0.67,30,17,307.2,309.6,307.3
751,2587,11.2,-33.8,3,0.29,29,17,308.6,309.7,308.6
707,3087,8.1,-23.1,9,0.84,25,17,310.6,313.5,310.7
700,3169,7.6,-21.4,11,0.99,20,19,310.9,314.3,311.1
691,3275,8,-39,2,0.19,14,19,312.5,313.2,312.5
639,3914,5.9,-41.1,2,0.17,335,17,317.1,317.8,317.2
627,4069,5.4,-41.6,2,0.16,344,17,318.3,318.9,318.3
625,4095,5.2,-41.2,2,0.17,345,17,318.3,319,318.4
602,4393,2.6,-37.2,3,0.26,330,19,318.8,319.9,318.9
555,5041,-2.9,-28.3,12,0.67,325,16,319.8,322.3,319.9
529,5423,-6.1,-23.1,25,1.13,344,21,320.3,324.4,320.6
528,5437,-6.2,-23.2,25,1.12,345,21,320.4,324.4,320.6
500,5860,-9.1,-26.1,24,0.91,335,21,321.9,325.2,322.1
459,6512,-13.2,-34.8,14,0.43,325,19,324.7,326.3,324.8
447,6714,-14.5,-37.5,12,0.34,345,19,325.5,326.9,325.6
419,7206,-17.6,-44.2,8,0.18,325,17,327.6,328.3,327.6
404,7484,-19.4,-47.9,6,0.12,325,17,328.7,329.2,328.8
400,7560,-19.9,-48.9,6,0.11,330,17,329,329.5,329.1
393,7690,-20.9,-50.9,5,0.09,343,21,329.4,329.8,329.4
392,7708,-21.1,-51,5,0.09,345,21,329.4,329.8,329.4
334,8847,-31.1,-53.9,9,0.07,345,27,331.1,331.4,331.1
307,9446,-36.5,-55.5,12,0.07,15,25,331.7,332,331.7
300,9610,-37.9,-55.9,13,0.07,10,27,331.8,332.1,331.9
299,9633,-38.1,-57.1,12,0.06,10,27,331.9,332.1,331.9
271,10303,-44.5,-50.5,51,0.14,18,28,332,332.6,332.1
263,10504,-46.1,-52.1,51,0.12,21,29,332.5,333,332.6
250,10840,-49.1,-54.1,56,0.1,25,29,332.9,333.4,333
207,12053,-58.5,-67.5,30,0.02,30,33,336.6,336.7,336.6
