60018 G,uimar-T,enerife,Observat,ions at,00Z 01,Dec-20,22,,,
,,,,,,,,,,
-------,-------,-------,---------,-------,-------,-------,------,------,-------,-------
PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
-------,-------,-------,---------,-------,-------,-------,------,------,-------,-------
1004,105,17,12,72,8.84,215,8,289.8,315,291.4
1002,130,19.8,10.8,56,8.18,220,6,292.8,316.4,294.2
1000,155,19.6,10.6,56,8.08,225,4,292.8,316.1,294.2
925,819,13.8,9.5,75,8.12,115,4,293.4,316.9,294.9
867,1361,9.4,6.6,83,7.1,0,0,294.3,315,295.5
865,1380,9.2,6.5,83,7.06,340,0,294.3,314.9,295.6
856,1467,10.8,-0.2,47,4.43,250,1,296.9,310.2,297.6
850,1526,11,-1,43,4.2,190,2,297.7,310.4,298.4
832,1705,13.2,-21.8,7,0.81,172,3,301.8,304.6,301.9
825,1776,13.8,-35.2,2,0.23,165,3,303.2,304,303.2
774,2309,11.6,-30.4,4,0.4,113,5,306.4,307.8,306.4
719,2919,8,-41,2,0.15,52,7,308.9,309.5,309
700,3139,7,-37,3,0.23,30,8,310.2,311.1,310.2
693,3221,6.5,-31.8,4,0.39,25,10,310.6,312,310.7
673,3460,5.2,-16.8,19,1.53,35,10,311.7,316.9,312
664,3569,4.2,-15.7,22,1.71,40,10,311.8,317.5,312.1
624,4070,-0.5,-10.5,47,2.77,16,10,312,321.1,312.5
619,4134,-0.5,-17.5,26,1.57,13,10,312.7,318.1,313
615,4185,-0.8,-15.2,33,1.92,10,10,312.9,319.3,313.2
610,4250,-1.3,-12.3,43,2.45,11,10,313.1,321.2,313.6
578,4677,-4.1,-26.1,16,0.79,17,13,314.7,317.5,314.8
544,5150,-7.9,-19.9,38,1.46,23,16,315.6,320.7,315.9
536,5265,-7.9,-38.9,6,0.25,25,17,317,317.9,317
535,5280,-7.9,-31.9,13,0.5,25,17,317.1,319,317.2
534,5294,-8,-31.8,13,0.5,25,17,317.2,319,317.3
512,5618,-10.8,-29.6,20,0.65,30,16,317.7,320.1,317.8
500,5800,-12.3,-28.3,25,0.75,20,10,318,320.7,318.1
478,6141,-15.3,-26.3,38,0.94,15,6,318.4,321.8,318.6
459,6446,-16.7,-51.7,3,0.07,358,13,320.4,320.6,320.4
451,6577,-17.7,-51.3,4,0.08,350,16,320.7,321,320.7
448,6627,-18.1,-51.1,4,0.08,350,16,320.8,321.1,320.8
446,6660,-18.3,-35.3,21,0.43,350,16,321,322.6,321.1
427,6982,-20.7,-39.7,17,0.29,350,19,321.9,323,322
420,7104,-21.7,-43.7,12,0.19,350,20,322.2,322.9,322.2
402,7424,-24.7,-30.7,57,0.74,350,23,322.3,325.1,322.5
400,7460,-25.1,-31.1,57,0.72,350,23,322.3,324.9,322.4
390,7643,-26.3,-38.3,31,0.36,343,27,323.1,324.4,323.1
386,7717,-27,-36.1,42,0.45,340,29,323.1,324.8,323.2
383,7774,-27.5,-34.5,51,0.54,340,29,323.1,325.2,323.2
332,8784,-35.3,-47.3,28,0.16,334,28,325.9,326.6,326
