60018 G,uimar-Te,nerife,Observat,ions at,00Z 01,Feb-20,19,,,
,,,,,,,,,,
-------,--------,-------,--------,-------,-------,-------,------,------,-------,-------
PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
-------,--------,-------,--------,-------,-------,-------,------,------,-------,-------
1006,105,17,8,55,6.73,0,0,289.6,309,290.8
1000,173,16.8,7.8,55,6.68,230,8,289.9,309.2,291.1
925,830,10.8,7.9,82,7.27,230,8,290.4,311.2,291.6
865,1385,5.8,5.4,97,6.54,280,2,290.8,309.6,291.9
856,1471,7.6,0.3,60,4.58,335,10,293.5,307.1,294.3
850,1529,8.8,-3.2,43,3.57,325,14,295.4,306.2,296
849,1539,8.8,-4.2,40,3.31,323,14,295.4,305.6,296
844,1588,13.8,-19.2,9,1,312,15,301.2,304.5,301.4
843,1598,13.8,-19.4,8,0.98,310,16,301.3,304.6,301.5
830,1728,13.7,-21.9,7,0.8,315,17,302.6,305.3,302.7
807,1964,13.6,-26.4,5,0.55,320,14,304.9,306.8,305
741,2671,9.3,-24.1,7,0.74,335,2,307.7,310.3,307.8
700,3143,6.4,-22.6,10,0.89,50,8,309.5,312.7,309.7
689,3272,5.8,-23.7,10,0.82,15,10,310.3,313.2,310.4
657,3659,4,-27,8,0.64,9,10,312.5,314.8,312.6
623,4087,0.6,-13.4,34,2.19,3,10,313.4,320.7,313.8
621,4112,0.4,-14.6,31,2,3,10,313.4,320.2,313.8
607,4294,-0.3,-25.5,13,0.8,0,10,314.7,317.6,314.9
590,4521,-1.1,-39.1,4,0.22,338,12,316.3,317.2,316.4
580,4654,-2.2,-37.9,5,0.25,325,14,316.6,317.5,316.6
515,5580,-10,-29.9,18,0.62,315,10,318.1,320.4,318.2
500,5810,-11.9,-27.9,25,0.78,310,8,318.5,321.3,318.6
449,6622,-18.5,-27.5,45,0.9,273,4,320.1,323.4,320.3
419,7131,-23,-32.8,40,0.58,250,2,320.7,322.9,320.8
412,7255,-24.1,-34.1,39,0.52,232,4,320.9,322.8,321
404,7398,-24.5,-50.5,7,0.09,211,7,322.1,322.5,322.2
400,7470,-24.9,-52.9,6,0.07,200,8,322.5,322.8,322.6
392,7617,-25.7,-56.9,4,0.04,190,10,323.4,323.6,323.4
390,7654,-25.9,-57.9,3,0.04,191,11,323.6,323.8,323.6
379,7860,-27.3,-58,4,0.04,195,16,324.3,324.5,324.3
366,8111,-29.1,-58.1,4,0.04,216,18,325.2,325.4,325.2
358,8268,-30.3,-58.2,5,0.04,230,19,325.7,325.9,325.7
342,8592,-32.8,-58.3,6,0.04,225,23,326.6,326.7,326.6
339,8654,-33.3,-58.3,6,0.04,225,23,326.7,326.9,326.7
335,8738,-33.9,-44.9,32,0.21,224,22,327,327.9,327.1
314,9188,-38.3,-45.3,48,0.21,222,18,327,327.8,327
310,9276,-38.9,-49.9,30,0.13,221,17,327.3,327.9,327.4
300,9500,-40.5,-50.5,33,0.12,220,16,328.2,328.7,328.2
276,10053,-45.4,-54.1,37,0.09,215,16,328.9,329.3,329
