60018 G,uimar-T,enerife,Observati,ons at,00Z 01,Feb-20,20,,,
,,,,,,,,,,
-------,-------,-------,----------,------,-------,-------,-----,-------,-------,-------
PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
-------,-------,-------,----------,------,-------,-------,-----,-------,-------,-------
1012,105,16.4,4.4,45,5.21,270,3,288.6,303.6,289.5
1011,114,18.6,10.6,60,7.99,277,3,290.8,313.8,292.2
1003,190,23.2,-2.8,18,3.12,337,3,296.1,305.7,296.7
1000,219,23,-3,17,3.08,0,3,296.1,305.6,296.7
996,254,22.8,-5.2,15,2.62,3,3,296.3,304.4,296.8
925,893,18.8,-2.2,24,3.53,60,7,298.5,309.4,299.2
865,1461,13.7,-3.3,31,3.48,50,10,299,309.8,299.6
850,1609,12.4,-3.6,33,3.46,60,11,299.1,309.8,299.8
801,2103,8.4,-3.6,43,3.68,57,20,300,311.3,300.6
776,2364,7.5,-11.2,25,2.11,55,25,301.7,308.5,302.1
737,2787,6,-23.4,10,0.79,45,15,304.6,307.3,304.8
712,3070,5,-31.7,5,0.38,60,10,306.5,307.9,306.6
711,3082,5,-32,5,0.37,61,10,306.6,308,306.7
703,3174,5.4,-43.6,1,0.12,67,9,308.1,308.5,308.1
700,3209,5.8,-43.2,1,0.12,70,8,308.9,309.3,308.9
694,3279,5.6,-38.4,2,0.2,67,7,309.4,310.2,309.4
652,3785,2.2,-19.8,18,1.23,42,3,311.1,315.4,311.4
641,3919,1.3,-21.4,17,1.08,35,2,311.6,315.4,311.8
516,5625,-10.2,-42.4,5,0.18,340,10,317.7,318.4,317.7
511,5702,-10.7,-43.3,5,0.16,355,12,318,318.6,318
507,5764,-11.1,-44.1,5,0.15,353,13,318.2,318.8,318.2
500,5870,-12.1,-38.1,10,0.29,350,14,318.2,319.3,318.3
496,5931,-12.5,-23.5,39,1.17,348,14,318.5,322.6,318.7
484,6117,-14.1,-24.1,43,1.13,344,14,318.7,322.8,318.9
471,6323,-15.7,-30.7,26,0.63,338,13,319.2,321.6,319.4
444,6764,-19.3,-26.3,54,1.01,327,12,320.1,323.8,320.3
428,7036,-21.6,-28.6,53,0.85,320,12,320.6,323.7,320.8
427,7053,-21.7,-28.7,53,0.84,320,12,320.7,323.7,320.8
400,7530,-25.1,-30.1,63,0.79,330,14,322.3,325.2,322.4
371,8072,-29.7,-33.7,68,0.6,330,15,323.2,325.5,323.3
366,8169,-30.5,-34.3,69,0.57,328,15,323.4,325.5,323.5
355,8386,-32.1,-42.1,36,0.27,325,16,324.1,325.1,324.1
300,9550,-42.3,-49.3,46,0.14,305,22,325.6,326.2,325.7
272,10204,-48.2,-55.2,44,0.08,290,21,326.4,326.7,326.4
266,10352,-49.5,-56.5,44,0.07,299,24,326.5,326.8,326.5
259,10528,-49.1,-70.1,7,0.01,310,28,329.6,329.6,329.6
250,10760,-49.7,-69.7,8,0.01,310,25,332.1,332.1,332.1
233,11216,-51.7,-69.7,10,0.01,330,23,335.8,335.8,335.8
232,11244,-51.6,-70.1,9,0.01,330,22,336.4,336.4,336.4
