60018 G,uimar-T,enerife,Observat,ions at,00Z 01,Feb-20,22,,,
,,,,,,,,,,
-------,-------,--------,--------,-------,-------,-------,------,------,-------,-------
PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
-------,-------,--------,--------,-------,-------,-------,------,------,-------,-------
1007,105,13.6,1.6,44,4.28,320,2,286.2,298.6,286.9
1006,116,17.6,-3.4,24,2.97,329,2,290.2,299.2,290.8
1005,127,18.4,-4.6,21,2.72,339,2,291.1,299.4,291.6
1000,181,18.2,-3.8,22,2.9,25,2,291.4,300.1,291.9
952,600,17,-1,29,3.75,312,2,294.3,305.6,294.9
925,845,16.8,-12.2,13,1.63,270,2,296.5,301.7,296.8
853,1528,11.8,-14.2,15,1.5,184,6,298.2,303,298.5
850,1557,12.2,-17.8,11,1.12,180,6,298.9,302.6,299.1
840,1656,14.4,-34.6,2,0.24,202,8,302.2,303.1,302.3
827,1787,13.9,-33.1,2,0.29,230,10,303.1,304.1,303.2
814,1920,13.5,-31.6,3,0.34,205,14,304,305.2,304.1
800,2066,13,-30,3,0.4,216,14,305,306.4,305.1
795,2117,12.6,-30.1,3,0.4,220,14,305.1,306.5,305.1
709,3061,4.7,-32,5,0.37,195,17,306.5,307.9,306.6
700,3166,3.8,-32.2,5,0.37,195,19,306.7,308,306.7
681,3388,2,-32,6,0.39,207,24,307.1,308.5,307.1
652,3737,0.8,-41.2,3,0.16,225,31,309.6,310.2,309.6
645,3822,0.1,-41,3,0.17,230,33,309.7,310.3,309.7
605,4329,-4.2,-39.8,4,0.2,245,31,310.4,311.2,310.4
601,4381,-4.7,-39.7,5,0.2,241,30,310.5,311.3,310.5
581,4645,-6.1,-44.7,3,0.12,220,27,311.8,312.3,311.9
562,4903,-7.5,-49.7,2,0.07,215,23,313.1,313.4,313.1
551,5057,-8.4,-52.6,1,0.05,230,19,313.9,314.1,313.9
547,5114,-8.7,-53.7,1,0.05,232,20,314.2,314.4,314.2
515,5574,-12.3,-49.9,3,0.08,245,25,315.3,315.6,315.3
500,5800,-14.1,-48.1,4,0.1,240,29,315.8,316.2,315.8
482,6077,-16.1,-46.1,6,0.13,236,32,316.6,317.2,316.7
479,6124,-16.3,-30.3,29,0.65,235,33,317,319.3,317.1
477,6155,-16.6,-31.7,26,0.57,235,33,317,319.1,317.1
451,6573,-20.1,-51.1,4,0.08,237,31,317.7,318,317.7
442,6722,-21.3,-38.3,20,0.32,238,30,318,319.2,318.1
440,6755,-21.5,-28.5,53,0.83,238,29,318.2,321.2,318.3
419,7113,-24.2,-35.6,34,0.44,240,27,319.2,320.9,319.3
412,7236,-25.1,-38.1,29,0.35,242,30,319.6,320.9,319.6
400,7450,-26.3,-37.3,35,0.39,245,35,320.7,322.2,320.8
356,8282,-33.7,-41.7,44,0.28,245,43,321.6,322.7,321.7
351,8382,-34.3,-51.3,16,0.1,245,44,322.1,322.5,322.1
331,8791,-37.1,-53.2,17,0.08,245,49,323.8,324.1,323.8
328,8854,-37.5,-53.5,17,0.08,246,52,324,324.4,324.1
