60018 G,uimar-T,enerife,Observat,ions at,00Z 01,Jan-20,21,,,
,,,,,,,,,,
-------,-------,-------,---------,-------,-------,-------,-----,-------,-------,-------
PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
-------,-------,-------,---------,-------,-------,-------,-----,-------,-------,-------
1008,105,16.6,8.6,59,7,40,18,289.1,309.1,290.3
1000,186,16.6,7.6,55,6.59,30,17,289.8,308.7,290.9
993,246,16.3,7,54,6.37,25,22,290.1,308.4,291.2
979,366,15.8,5.8,51,5.94,22,20,290.7,307.9,291.8
946,655,13.1,5.6,60,6.04,15,16,290.9,308.4,291.9
925,844,11.4,5.4,67,6.11,5,13,291,308.7,292
900,1071,9.5,4.4,70,5.86,345,20,291.3,308.4,292.3
867,1379,7,3,76,5.52,10,17,291.8,307.9,292.7
850,1543,5.6,2.3,79,5.34,15,17,292,307.7,292.9
843,1611,5,2.1,82,5.31,15,18,292,307.6,293
832,1718,4,1.8,86,5.27,350,17,292.1,307.6,293
825,1787,5,-3,56,3.73,335,17,293.9,305.1,294.5
823,1807,6.4,-7.6,36,2.64,330,17,295.6,303.7,296
821,1827,7.8,-12.2,23,1.84,331,17,297.2,303.1,297.6
818,1857,7.8,-16.2,16,1.33,334,17,297.6,301.9,297.8
817,1867,7.8,-16.2,16,1.33,334,17,297.6,302,297.9
796,2081,7.5,-19,13,1.08,350,16,299.5,303.1,299.7
767,2386,7,-23,10,0.79,342,16,302.2,304.9,302.4
762,2440,6.7,-23.8,9,0.74,340,16,302.4,305,302.6
733,2757,4.8,-28.2,7,0.51,349,15,303.7,305.6,303.8
700,3131,2.4,-18.6,20,1.27,0,14,305.1,309.4,305.4
684,3317,0.6,-14.4,32,1.84,357,11,305.1,311.2,305.5
675,3421,-0.1,-15.9,29,1.65,355,10,305.5,310.9,305.8
589,4488,-7.3,-31.3,13,0.48,325,21,309.2,311,309.3
542,5139,-11.7,-40.7,7,0.2,317,26,311.4,312.2,311.5
516,5513,-15.1,-37.1,13,0.31,313,29,311.8,312.9,311.8
500,5750,-16.3,-42.3,9,0.19,310,31,313.1,313.8,313.1
456,6440,-19.7,-50.7,5,0.08,306,39,317.2,317.5,317.2
403,7345,-26.5,-54.7,5,0.06,300,50,319.8,320,319.8
400,7400,-26.9,-54.9,5,0.06,300,52,319.9,320.2,319.9
387,7637,-28.5,-55.5,6,0.05,299,62,320.9,321.1,320.9
357,8211,-31.1,-64.1,2,0.02,295,85,324.9,325,324.9
355,8251,-31.1,-63.8,3,0.02,295,87,325.4,325.5,325.4
342,8515,-30.9,-61.9,3,0.03,298,92,329.1,329.3,329.2
300,9430,-37.7,-58.7,9,0.05,310,110,332.1,332.3,332.1
285,9781,-40.1,-63.1,7,0.03,309,114,333.6,333.7,333.6
253,10581,-46.7,-54.7,40,0.09,305,124,335.4,335.8,335.4
251,10634,-47.3,-54.3,44,0.1,305,125,335.2,335.6,335.2
250,10660,-47.5,-55.5,39,0.08,305,125,335.3,335.7,335.3
247,10739,-48,-57.2,34,0.07,310,126,335.8,336.1,335.8
