60018 G,uimar-T,enerife,Observat,ions at,00Z 01,Mar-20,21,,,
,,,,,,,,,,
-------,-------,--------,--------,-------,-------,-------,------,------,-------,-------
PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
-------,-------,--------,--------,-------,-------,-------,------,------,-------,-------
1003,105,14.2,8.2,67,6.84,345,3,287.1,306.5,288.3
1001,132,16,8,59,6.76,65,2,289.1,308.4,290.2
1000,146,16,8,59,6.77,105,2,289.1,308.6,290.3
992,214,16.4,8.4,59,7.02,99,3,290.2,310.4,291.4
925,805,11.4,5.4,67,6.11,45,7,291,308.7,292
853,1477,6,2.4,78,5.37,325,14,292.2,307.9,293.1
850,1506,5.8,2.3,78,5.34,325,15,292.2,307.9,293.1
842,1583,5.2,2,80,5.28,310,15,292.3,307.8,293.3
813,1869,2.8,0.9,87,5.05,332,18,292.8,307.6,293.7
802,1979,2.4,-0.8,79,4.52,340,19,293.5,306.9,294.3
797,2029,2.2,-1.6,76,4.29,347,19,293.8,306.6,294.6
787,2132,2.8,-9.2,41,2.43,1,19,295.5,303,295.9
774,2266,2.6,-14.2,28,1.65,20,19,296.7,302,297
771,2298,2.6,-15.4,25,1.5,18,19,297,301.9,297.3
732,2715,-0.5,-15.5,31,1.57,354,23,298.1,303.1,298.4
717,2880,0,-19.5,22,1.15,345,24,300.4,304.2,300.6
712,2936,0.2,-20.8,19,1.03,346,23,301.2,304.6,301.4
700,3072,-1.1,-20.1,22,1.11,350,21,301.2,304.9,301.4
674,3373,-3.2,-20.7,24,1.1,350,23,302.2,305.9,302.4
665,3479,-3.9,-20.9,25,1.09,348,24,302.5,306.2,302.7
637,3818,-4.5,-33.5,8,0.36,340,27,305.6,306.9,305.7
628,3931,-4.7,-37.7,6,0.24,334,27,306.6,307.5,306.7
614,4104,-6,-39.2,5,0.21,325,27,307.1,307.9,307.1
500,5680,-18.1,-53.1,3,0.06,315,25,310.9,311.1,310.9
492,5800,-19.2,-52.8,3,0.06,310,26,311,311.3,311.1
488,5861,-19.7,-52.7,4,0.06,310,28,311.1,311.4,311.1
447,6510,-22.3,-56.3,3,0.04,315,51,315.7,315.9,315.8
424,6897,-23.9,-58.9,2,0.03,323,59,318.5,318.6,318.5
420,6966,-24.4,-58.3,3,0.03,325,61,318.7,318.8,318.7
400,7320,-27.1,-55.1,5,0.05,315,61,319.7,319.9,319.7
394,7427,-28,-54.5,6,0.06,315,62,319.9,320.1,319.9
348,8306,-35.3,-49.3,23,0.12,315,62,321.6,322.1,321.6
322,8841,-40.1,-53.1,24,0.09,315,62,322.1,322.5,322.2
300,9320,-43.7,-58.7,17,0.05,315,62,323.6,323.9,323.7
253,10442,-52.5,-63.7,25,0.03,310,70,326.8,326.9,326.8
251,10494,-52.9,-63.9,25,0.03,310,69,326.9,327,326.9
250,10520,-52.9,-64.9,22,0.02,310,69,327.3,327.4,327.3
244,10677,-52.5,-67.1,16,0.02,315,57,330.1,330.2,330.1
240,10783,-52.3,-68.5,12,0.02,300,53,332,332.1,332
223,11257,-51.2,-75,4,0.01,285,71,340.7,340.7,340.7
