60018 G,uimar-T,enerife,Observat,ions at,00Z 01,Nov-20,21,,,
,,,,,,,,,,
-------,-------,-------,---------,-------,-------,-------,-----,-------,-------,-------
PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
-------,-------,-------,---------,-------,-------,-------,-----,-------,-------,-------
1009,105,17.8,14.9,83,10.66,265,4,290.2,320.4,292.1
1004,157,19.8,15.7,77,11.29,259,3,292.6,324.9,294.6
1000,198,19.4,15.7,79,11.34,255,3,292.6,325,294.5
940,727,14.6,14.4,99,11.09,10,4,292.9,324.6,294.8
936,764,15,12,82,9.49,18,4,293.6,321,295.3
935,773,16.8,5.8,48,6.22,20,4,295.6,314,296.7
929,828,19.4,0.4,28,4.26,32,4,298.8,311.8,299.5
925,865,20.6,-0.4,24,4.03,40,4,300.4,312.8,301.1
850,1590,17.4,-16.6,8,1.23,15,5,304.4,308.5,304.6
802,2084,16.2,-5.8,22,3.11,74,7,308.2,318.2,308.8
763,2504,12.2,-8.8,22,2.59,125,8,308.3,316.7,308.8
716,3033,10.2,-30.6,4,0.42,190,10,311.8,313.3,311.8
706,3150,9.8,-35.5,2,0.27,165,11,312.5,313.5,312.6
702,3197,9.6,-37.4,2,0.22,165,11,312.8,313.7,312.9
700,3221,9.4,-37.6,2,0.22,165,11,312.9,313.7,312.9
594,4557,1,-40,3,0.2,138,9,318.1,318.9,318.2
500,5910,-10.3,-28.3,21,0.75,110,6,320.4,323.1,320.6
498,5941,-10.5,-28.5,21,0.74,107,6,320.5,323.2,320.7
493,6018,-9.5,-43.5,4,0.17,98,8,322.7,323.4,322.7
482,6190,-10.5,-44.7,4,0.15,80,10,323.5,324.1,323.5
466,6447,-12.1,-46.5,4,0.13,90,10,324.7,325.2,324.7
458,6578,-12.9,-47.4,4,0.12,80,10,325.3,325.8,325.3
422,7201,-16.7,-51.7,3,0.08,71,9,328.1,328.5,328.1
400,7600,-19.9,-47.9,6,0.13,65,9,329,329.6,329.1
359,8388,-26.6,-47.8,12,0.14,70,10,330.4,331,330.4
347,8636,-28.7,-47.7,14,0.15,66,11,330.8,331.4,330.8
300,9660,-36.9,-55.9,12,0.07,50,13,333.2,333.5,333.3
294,9799,-38.1,-57.8,11,0.05,50,13,333.5,333.7,333.5
284,10038,-40.1,-61.1,9,0.04,36,11,333.9,334.1,333.9
283,10062,-40.3,-61.2,9,0.04,35,11,334,334.2,334
273,10305,-42.1,-62.8,9,0.03,40,11,334.8,335,334.8
266,10481,-43.4,-63.9,9,0.03,15,12,335.4,335.6,335.4
254,10793,-45.7,-65.8,9,0.02,10,15,336.5,336.6,336.5
250,10900,-46.5,-66.5,8,0.02,15,14,336.8,336.9,336.8
233,11362,-49.9,-71.9,6,0.01,30,10,338.5,338.5,338.5
220,11730,-52.8,-72.1,8,0.01,345,15,339.7,339.7,339.7
212,11967,-54.6,-72.3,10,0.01,5,15,340.4,340.5,340.4
200,12340,-57.5,-72.5,13,0.01,0,14,341.6,341.6,341.6
185,12828,-61.4,-73.7,18,0.01,10,11,343,343,343
