PRES	HGHT	TEMP	DWPT	RELH	MIXR	DRCT	SKNT	THTA	THTE	THTV
1007.146309	103.9646562	18.56448874	10.64252066	59.969536	133.3986917	146.1623043	7.714645499	291.1209946	35678004.11	312.6086352
1002.241804	164.8745392	18.35764979	12.3802054	68.1472	132.1896567	144.118491	7.613997757	291.3210169	91263885.14	312.8234212
989.1762859	282.5046663	17.49270135	13.50345787	77.44	126.3900093	127.2674742	8.896347357	291.5487235	59612105.09	312.8900901
960.8419789	532.8432237	15.53470383	13.55467716	88	115.2281045	119.5672247	9.808769032	292.001653	18843702.9	312.485569
937.0677774	746.2527336	14.14449741	14.14449741	100	107.5311759	128.7708802	10.1610043	292.6852259	9855957.653	309.2356974
916.7216435	932.7552797	14.94449741	14.94449741	100	116.0243142	142.3925725	10.16395409	295.3486857	22287146.86	312.5362071
898.3961395	1103.806981	15.74449741	15.74449741	100	124.6220849	159.099994	10.59373311	297.8841921	55788728.16	315.5463416
881.1037893	1269.182457	16.54449741	16.54449741	100	134.127218	164.6834437	11.00784432	300.3741151	140411484.1	318.092283
864.0020979	1440.574583	17.34449741	11.09944948	66.7473863	143.9811319	172.4748847	11.79328084	302.8967953	280251947.2	320.6529083
846.987339	1608.642966	16.68341367	9.028398817	60.60043294	140.2641982	173.3721359	12.66476734	303.9314579	172908688.1	319.6532244
829.4064076	1785.886446	16.00583142	6.678251227	53.92050821	137.2379077	171.4360145	13.59893765	305.0454017	116523733.2	318.7965434
811.567818	1970.277852	15.28807578	4.320893114	47.94145899	134.1231103	169.5431073	14.50516227	306.1862557	79054008.78	318.1771218
793.862313	2157.033929	14.51323145	2.150494065	43.23186505	130.0628564	168.6785906	15.39405022	307.2962297	49647271.39	317.830959
774.6300504	2364.42406	13.59613071	-0.157875259	38.8602667	125.2623752	169.7389853	16.0948085	308.4725936	31236464.97	317.6928394
755.1035402	2579.902502	12.56902638	-2.205656672	35.76900744	120.2643017	173.6866556	16.733065	309.6202099	16690443.28	317.7226612
735.4172467	2805.224506	11.52121318	-4.197883748	33.03943393	115.0258583	176.6036272	17.11656273	310.8242414	9872565.352	318.0291473
714.5686879	3045.70648	10.25045122	-6.121551333	31.07807631	108.8068947	182.0647697	17.45336846	311.9923596	5392430.476	318.4440496
693.3240902	3296.199061	8.886851938	-8.049336254	29.36239739	102.2725173	184.6036766	17.73549429	313.1829275	2717132.523	318.8950709
672.0198561	3554.416321	7.38212883	-9.687381998	28.61481375	95.33349263	187.6038875	18.13829826	314.3050256	1418475.433	319.5199746
650.4435108	3822.7144	5.752379883	-11.53749851	27.64026415	87.88126724	190.1980838	18.71482003	315.4091433	709886.8178	320.084453
627.9368965	4109.55311	3.970928898	-13.2451581	27.27426651	80.33323138	193.7634342	19.29498136	316.5667878	350487.4285	320.7958035
606.3615614	4392.52702	2.16118716	-14.84319528	27.20487296	73.13887097	197.0735043	20.00810987	317.6600527	181066.1724	321.5161281
584.4769252	4689.152229	0.194377483	-16.64174593	26.99180048	65.87394359	201.3010722	20.62974254	318.723934	93042.85732	322.1846385
562.6935127	4991.858466	-1.801513187	-18.31310062	27.12674321	59.13876604	205.158636	21.54819389	319.8524181	50874.2418	322.9741777
541.3070506	5298.893859	-3.92930786	-19.94678147	27.63130503	52.51252495	207.8187824	22.45087936	320.8806605	28257.44699	323.7188499
520.3816353	5608.843696	-6.08525586	-21.83944103	27.59565798	46.3767327	210.3413541	23.60005463	321.9203851	16426.45468	324.4339395
499.9169533	5922.944937	-8.34938276	-23.50084489	28.37501788	40.56113694	212.1374861	24.87995039	322.8748398	9885.215602	325.1398068
480.4197619	6230.749658	-10.5698469	-25.3765415	28.55137245	35.47481047	216.9779291	26.01401504	323.8309323	6330.639605	325.8260547
460.0812896	6566.134279	-13.00521848	-27.21882274	29.33538548	30.55373109	220.7047822	27.31620732	324.8212482	4147.014189	326.600554
440.7264059	6891.947758	-15.41552038	-29.10868996	29.98329451	26.25029915	224.9662767	28.43181528	325.7918139	2868.508704	327.3598173
422.473034	7214.635614	-17.74837564	-31.08465857	30.2300562	22.67316309	226.0858429	29.68883976	326.7722307	2093.060235	328.1336618
403.304841	7562.697589	-20.30339147	-33.26240912	30.48204539	19.12399559	229.1736494	31.08308033	327.8279443	1557.513881	328.9917991
385.92172	7889.825907	-22.7142672	-35.24335479	30.96674521	16.27843077	232.8229513	32.45307188	328.8194645	1222.638771	329.8263755
368.97871	8219.359089	-25.138438	-37.34053693	31.15695901	13.73873306	233.8310568	33.90080474	329.8447329	993.9781629	330.7038795
352.8830372	8543.570108	-27.46717942	-39.29596121	31.54882495	11.68619504	232.4363229	35.3256494	330.9423798	843.9608996	331.687298
337.0255054	8873.372119	-29.81167402	-41.31995051	31.78734819	9.892189008	236.9467471	36.52729357	332.1230092	729.0549122	332.7591576
321.7288651	9205.299715	-32.08911733	-43.44864441	31.48379575	8.390543382	239.2680741	37.91262736	333.4145857	646.7096633	333.9515165
307.5888965	9519.878387	-34.22126463	-45.46440442	31.11983303	7.178737676	239.3745468	39.30099572	334.7408984	588.0039757	335.1962464
293.345081	9850.513303	-36.39168418	-47.56103389	30.5925954	6.106664526	241.8532917	40.53696274	336.2287935	541.7782755	336.6123297
279.5599556	10183.20925	-38.47543399	-49.56737389	30.10417469	5.228574303	242.9097617	41.62535217	337.8891015	507.0682872	338.214759
267.3183053	10493.46431	-40.30659313	-51.46980118	29.19304289	4.560555622	244.3526199	42.4901348	339.5734579	482.8183434	339.8489538
254.9403482	10816.90057	-42.09600828	-53.19516862	28.7566325	4.001249732	244.167024	43.48098878	341.5639628	464.0345384	341.8035699
243.4087454	11129.08779	-43.73887003	-54.93411123	27.82682336	3.526413969	245.7864855	44.51415007	343.654739	450.0620164	343.8612239
232.8192968	11428.39062	-45.19335016	-56.49399718	26.93934605	3.17920383	248.781046	45.06747694	345.8476583	440.1729191	346.0284571
222.3282312	11735.39568	-46.64454225	-58.35585902	25.08014758	2.853618709	249.4056917	45.13851031	348.2075727	432.0240412	348.3598682
212.4461121	12043.4072	-47.90396484	-60.10900134	23.11687626	2.62038215	251.2421443	45.03993673	350.803568	426.9941274	350.933246
202.5503326	12362.91056	-49.16362335	-61.75576798	21.5521734	2.398327338	251.8308635	44.78884093	353.6333194	423.0182945	353.7448447
193.1127247	12680.5877	-50.3705882	-63.2136539	20.43645073	2.20632794	253.3967823	44.71379103	356.5604244	420.2124712	356.6587352
184.3869444	12989.27765	-51.389156	-64.51203983	19.34124194	2.067857902	255.0176359	44.35445761	359.6549467	419.2237727	359.7427025
175.7696947	13305.27967	-52.35262866	-66.03619919	17.61167796	1.949835554	254.2878356	43.54078688	363.0278262	419.1403609	363.1037825
167.5329114	13617.60532	-53.20323675	-67.54884055	15.80966373	1.860064374	257.7760804	42.83604516	366.6274147	420.2418118	366.6931657
159.458106	13934.97093	-54.07677097	-68.89962867	14.52096479	1.770922828	259.9340843	42.13897368	370.3670834	421.5177226	370.4251458
151.6997517	14254.84022	-54.8702656	-70.29584126	13.09680093	1.701584855	261.2635178	41.24458521	374.3275087	423.6370028	374.3784285
144.5610143	14543.90746	-55.5968745	-71.48263521	12.05007671	1.643624328	260.0835916	39.65236184	378.2602346	426.0470001	378.3059209
137.5394878	14857.52458	-56.29979255	-72.7571743	10.89391807	1.591862842	260.6716711	38.51259187	382.4455437	429.0191242	382.4859032
131.1930933	15167.2575	-56.84745824	-73.68316766	10.15669005	1.569305173	258.4539096	36.82219751	386.6687592	432.9989088	386.7062622
124.9863799	15456.85119	-57.4387603	-74.76325368	9.291338231	1.537751555	259.8098827	35.490853	390.9939573	436.7460363	391.0280637
118.8604537	15764.02907	-57.97462793	-75.62635591	8.711763344	1.517577919	260.9420952	33.98960849	395.6688593	441.2139862	395.7007186
113.224357	16057.05983	-58.41088644	-76.58149798	7.94504815	1.510717345	259.8966176	32.8252725	400.3910446	446.0279552	400.4203532
107.8993202	16348.38271	-58.80956967	-77.4260347	7.32673598	1.516098523	260.612148	31.50215454	405.1918932	451.2586539	405.2193287
102.7008515	16639.22051	-59.17056031	-78.23088873	6.758945136	1.526219089	260.6019667	29.91714086	410.2625445	457.4435735	410.2883213
97.99353113	16919.10221	-59.42512294	-78.75277526	6.42759274	1.548755293	258.9925134	28.35353314	415.310219	463.6553048	415.3354516
93.48596253	17196.39245	-59.64270172	-79.38489307	5.974901185	1.583510465	256.4973811	26.69043081	420.5128326	470.3704816	420.5370474
89.37671856	17458.75418	-59.77147137	-80.04075071	5.466622939	1.628477777	256.6055582	25.28867759	425.6969475	477.758058	425.7200846
85.6243393	17708.08333	-59.83594601	-80.48115517	5.132996671	1.692579484	252.7396878	24.21729308	430.8207979	485.4940289	430.8435827
81.99441868	17963.22816	-59.89583195	-80.84082073	4.878821369	1.752338785	251.6854993	23.02269569	436.069007	493.4350697	436.0917236
78.69311607	18207.8814	-59.82751772	-81.09588234	4.639413149	1.841660456	248.2742965	22.00727016	441.3658428	502.5662218	441.3888353
75.38571819	18458.86607	-59.74205559	-81.30485708	4.434922158	1.938961431	250.606823	21.05303113	446.9983363	512.5430507	447.0217858
72.40495222	18688.01343	-59.6610129	-81.45590332	4.282017295	2.044556283	248.1819899	20.36150563	452.3574541	522.3272607	452.3815711
69.55209366	18933.6845	-59.46450963	-81.65595162	4.041269718	2.17313372	246.2355247	19.5803267	458.0093188	533.6765852	458.0338209
66.76851625	19180.31675	-59.2445624	-81.76444797	3.860430394	2.328941973	244.3986901	18.81010152	463.8678906	546.6035962	463.8933287
64.15445832	19424.07216	-59.03041952	-81.93107586	3.655326193	2.482009889	241.4475227	18.1879338	469.6664163	559.2690706	469.6924015
61.65086494	19670.62275	-58.72952588	-82.08935796	3.428195578	2.673604014	237.9226096	17.20578724	475.7114977	574.4521482	475.7381656
59.19004151	19924.58934	-58.40511106	-82.24176337	3.209043363	2.900352756	236.1461767	16.64893442	482.0140792	591.0931088	482.0414533
56.86033639	20171.60762	-58.10971745	-82.32949527	3.047653723	3.11763896	233.8148688	16.15754641	488.2523323	608.0482791	488.2806563
54.63959087	20416.53258	-57.79532468	-82.40977811	2.891392801	3.369571351	229.7338223	15.71160168	494.569326	626.8063532	494.5987103
52.56434452	20653.62143	-57.43021065	-82.4484256	2.745143869	3.656432925	226.7474754	15.31146997	500.9245182	647.9205966	500.9550746
50.53785163	20901.93964	-57.06525641	-82.46232166	2.617543889	3.963049349	222.3484893	15.28631779	507.4458524	670.8100933	507.4780448
