PRES,HGHT,no TEMP,no DWPT,no RELH,no MIXR,DRCT,SKNT,no THTA,no THTE,no THTV,,THTA,THTE,THTV,MIXR,g/g mixr,vapour pressure,DWPT,RELH,no RELH,no DWPT,TEMP,k temp,k dep t,saturation vp,saturated mixr,6.53833504,,,,6.570893696,
1007.146309,103.9646562,18.56448874,10.79858251,62.69844345,8.414345672,146.1623043,7.714645499,291.18374,315.3212372,292.6602364,,291.1209946,9.46E+04,3.13E+02,1.21E+02,1.21E-01,1.96E+01,17.05120566,90.912743,87.46031131,17.05120566,18.56448874,291.7144887,290.2012057,2.16E+01,1.33E+00,0.605056154,,1.17548936,,,6.570893696
1002.241804,164.8745392,18.35764979,10.70250575,63.37806295,8.426211452,144.118491,7.613997757,291.430035,315.605322,292.9036502,,291.3210169,8.69E+04,3.13E+02,1.21E+02,1.21E-01,1.96E+01,17.01685461,91.89819128,87.32438741,17.01685461,18.35764979,291.5076498,290.1668546,2.13E+01,1.32E+00,73.0656795,,increase above temp inversion,,,
989.1762859,282.5046663,17.49270135,10.20959333,65.24416997,8.272584278,127.2674742,8.896347357,291.6719619,315.4412473,293.1203028,,291.5487235,5.74E+04,3.13E+02,1.20E+02,1.20E-01,1.91E+01,16.61668435,94.60404646,86.95116601,16.61668435,17.49270135,290.6427014,289.7666844,2.01E+01,1.27E+00,,,1.605056154,,,
960.8419789,532.8432237,15.53470383,9.023148685,69.22813838,7.904231873,119.5672247,9.808769032,292.1404805,314.9204605,293.5257353,,292.001653,2.11E+04,3.13E+02,1.15E+02,1.15E-01,1.78E+01,15.59404238,100.3808007,86.15437232,15.59404238,15.53470383,288.6847038,288.7440424,1.78E+01,1.15E+00,17.34449741,,,,,
937.0677774,746.2527336,14.14449741,7.307767179,68.69607196,7.276800577,128.7708802,10.1610043,292.8323285,313.9149418,294.1156837,,292.6852259,1.22E+04,3.09E+02,9.27E+01,9.27E-02,1.39E+01,13.87866087,85.87008995,100,11.81357812,14.14449741,287.2944974,287.0286609,1.62E+01,1.08E+00,,,L heat of evap,2.50E+06,,
916.7216435,932.7552797,13.13120218,5.287978576,65.77050562,6.57147775,142.3925725,10.16395409,293.6494409,312.8157435,294.8111625,,295.3486857,2.62E+04,3.13E+02,9.54E+01,9.54E-02,1.40E+01,11.85887227,82.21313203,65.77050562,11.9368806,14.94449741,288.0944974,285.0088723,1.71E+01,1.16E+00,,,Rv gas const,461,,
898.3961395,1103.806981,12.28557498,3.35382931,62.2139743,5.939536888,159.099994,10.59373311,294.4938597,311.9382997,295.5473221,,297.8841921,6.23E+04,3.16E+02,9.72E+01,9.72E-02,1.40E+01,9.924723006,77.76746788,62.2139743,11.87220232,15.74449741,288.8944974,283.074723,1.80E+01,1.25E+00,,,cp speif heat cap,1000,,
881.1037893,1269.182457,11.54704932,1.258120448,57.71202995,5.309409619,164.6834437,11.00784432,295.4010359,311.1175302,296.3451912,,300.3741151,1.51E+05,3.18E+02,9.67E+01,9.67E-02,1.37E+01,7.829014144,72.14003744,57.71202995,11.50712144,16.54449741,289.6944974,280.9790141,1.90E+01,1.34E+00,,,magnus coefficients,,,
864.0020979,1440.574583,10.80616237,-0.887368696,53.39790904,4.750755785,172.4748847,11.79328084,296.3856681,310.5569916,297.2336682,,302.8967953,4.05E+05,3.21E+02,9.61E+01,9.61E-02,1.33E+01,5.683525,66.7473863,53.39790904,11.09944948,17.34449741,290.4944974,278.833525,2.00E+01,1.44E+00,,,a,17.625,,
846.987339,1608.642966,10.14507863,-3.240622553,48.48034635,4.198180722,173.3721359,12.66476734,297.4078222,310.0422109,298.1603859,,303.9314579,3.15E+05,3.20E+02,8.48E+01,8.48E-02,1.16E+01,3.330271143,60.60043294,48.48034635,9.028398816,16.68341367,289.8334137,276.4802711,1.91E+01,1.40E+00,,,b,243.04,,
