,palma,pure-40,pure-42,pure-45,palma_clean,pure_clean,palma_re-ordered,pure_re-ordered,palma_froz_frac,pure_froz_frac
0,-27.65536621356607,-28.626554515503706,-32.34449438177295,-30.618518950701134,-27.65536621356607,-28.626554515503706,-10.924266410001641,-18.64444965632539,0.0005490365834594719,0.0008533139679326447
1,-20.96863249030886,-30.779630556425218,-21.357549332598666,-30.56814769890301,-20.96863249030886,-30.779630556425218,-12.72933586995113,-19.588153125991376,0.0012795131157452289,0.0017930102498618075
2,-26.8554804304785,-27.961336810773194,-26.539881288881734,-27.39986082935779,-26.8554804304785,-27.961336810773194,-12.81649072637274,-19.588153125991376,0.0019324104748778194,0.002689515374792711
3,-21.074803045541817,-27.457388449869086,-32.11328840980662,-29.77676081351709,-21.074803045541817,-27.457388449869086,-12.993041685986357,-19.588153125991376,0.00261204000279205,0.003586020499723615
4,-29.531613906659654,-33.415776740309184,-28.804746461821765,-35.9674870529259,-29.531613906659654,-33.415776740309184,-12.993041685986357,-19.71624518045118,0.003265050003490063,0.004511838031635289
5,-27.383110052285264,-31.32210704404277,-22.090223520492,-27.058392731259612,-27.383110052285264,-31.32210704404277,-12.993041685986357,-21.357549332598666,0.003918060004188075,0.00586491813990358
6,-24.293849635764364,-39.189137136805314,-29.709663041192535,-27.39986082935779,-24.293849635764364,-39.189137136805314,-12.993041685986357,-21.84513522014999,0.004571070004886088,0.00699861436021795
7,-23.96346745128876,-32.77977060368401,-29.564170178121078,-32.977257870263706,-23.96346745128876,-32.77977060368401,-15.990120366533471,-22.090223520492,0.006429107988146134,0.008088153475056304
8,-24.403977030589566,-24.15903493142817,-28.804746461821765,-29.77676081351709,-24.403977030589566,-24.15903493142817,-16.800720676333025,-22.32211760312779,0.0075994020469979245,0.009194692032279806
9,-22.191802563236873,-32.7920777071454,-24.994104280709116,-30.141311967260332,-22.191802563236873,-32.7920777071454,-16.87060473006962,-22.443991229338764,0.008478902687151913,0.010272103261388051
10,-20.992389998572392,-37.2154333536287,-31.836650802084588,-31.69810210385231,-20.992389998572392,-37.2154333536287,-17.580643978399948,-22.523037779477715,0.009719333067242777,0.011339109172407706
11,-24.487557096736683,-28.191716862499167,-29.564170178121078,-31.50950635778581,-24.487557096736683,-28.191716862499167,-17.63725019812981,-22.585177389923075,0.010637048083926723,0.012404065139151715
12,-28.104048536010623,-32.7920777071454,-31.829357349192065,-29.563023475020856,-28.104048536010623,-32.7920777071454,-17.706766300417097,-22.622228316233375,0.011568887778344939,0.013459781807981927
13,-25.84256983023086,-30.989127500240826,-32.34449438177295,-27.111481439112563,-25.84256983023086,-30.989127500240826,-18.181280668210672,-22.707649770255696,0.012792679146486399,0.014549883273079616
14,-27.292357998524995,-31.26930160523751,-31.63457643281529,-28.82771313743145,-27.292357998524995,-31.26930160523751,-18.259194406348183,-22.74439383486509,0.013765179286188154,0.015614386031126729
15,-20.96863249030886,-28.191716862499167,-31.746417902320488,-31.2863109192468,-20.96863249030886,-28.191716862499167,-18.372500661052317,-22.895040519688518,0.014773971434187369,0.016765661186641467
16,-24.77879724380505,-30.778965254362642,-34.529820575158276,-31.021421943803187,-24.77879724380505,-30.778965254362642,-18.40587332443032,-23.057548955468015,0.015725858034593296,0.01793995490322131
17,-26.15814178763599,-24.15521655523824,-31.983496417239465,-30.566205897361137,-26.15814178763599,-24.15521655523824,-18.90768861212149,-23.19511163571691,0.017104876667030807,0.019108573114486507
