,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
0,1007.146309,103.9646562,18.56448874,10.79858251,62.69844345,8.414345672,146.1623043,7.714645499,291.18374,315.3212372,292.6602364
1,1002.241804,164.8745392,18.35764979,10.70250575,63.37806295,8.426211452,144.118491,7.613997757,291.430035,315.605322,292.9036502
2,989.1762859,282.5046663,17.49270135,10.20959333,65.24416997,8.272584278,127.2674742,8.896347357,291.6719619,315.4412473,293.1203028
3,960.8419789,532.8432237,15.53470383,9.023148685,69.22813838,7.904231873,119.5672247,9.808769032,292.1404805,314.9204605,293.5257353
4,937.0677774,746.2527336,14.14449741,7.307767179,68.69607196,7.276800577,128.7708802,10.1610043,292.8323285,313.9149418,294.1156837
5,916.7216435,932.7552797,13.13120218,5.287978576,65.77050562,6.57147775,142.3925725,10.16395409,293.6494409,312.8157435,294.8111625
6,898.3961395,1103.806981,12.28557498,3.35382931,62.2139743,5.939536888,159.099994,10.59373311,294.4938597,311.9382997,295.5473221
7,881.1037893,1269.182457,11.54704932,1.258120448,57.71202995,5.309409619,164.6834437,11.00784432,295.4010359,311.1175302,296.3451912
8,864.0020979,1440.574583,10.80616237,-0.887368696,53.39790904,4.750755785,172.4748847,11.79328084,296.3856681,310.5569916,297.2336682
9,846.987339,1608.642966,10.14507863,-3.240622553,48.48034635,4.198180722,173.3721359,12.66476734,297.4078222,310.0422109,298.1603859
10,829.4064076,1785.886446,9.467496379,-5.851539429,43.13640657,3.653933073,171.4360145,13.59893765,298.5269756,309.6288038,299.1843018
11,811.567818,1970.277852,8.749740738,-8.54663658,38.35316719,3.165671894,169.5431073,14.50516227,299.6775721,309.3957472,300.2489417
12,793.862313,2157.033929,7.974896406,-11.01333546,34.58549204,2.772883988,168.6785906,15.39405022,300.8029569,309.3966563,301.3058593
13,774.6300504,2364.42406,7.057795673,-13.57676301,31.08821336,2.409158162,169.7389853,16.0948085,301.9989103,309.5398684,302.4385826
14,755.1035402,2579.902502,6.030691343,-15.79805165,28.61520595,2.128288309,173.6866556,16.733065,303.1681928,309.8946986,303.5574943
15,735.4172467,2805.224506,4.982878142,-17.94244854,26.43154714,1.888917581,176.6036272,17.11656273,304.4548554,310.4826359,304.8006171
16,714.5686879,3045.70648,3.712116184,-19.66307202,24.86246105,1.688963104,182.0647697,17.45336846,305.6412059,311.0851257,305.9520946
17,693.3240902,3296.199061,2.348516898,-21.45887989,23.48991791,1.510116767,184.6036766,17.73549429,306.839984,311.7556144,307.1197042
18,672.0198561,3554.416321,0.84379379,-23.09113251,22.891851,1.370225732,187.6038875,18.13829826,307.9800101,312.4797527,308.2356466
19,650.4435108,3822.7144,-0.785955157,-24.80580056,22.11221132,1.231055985,190.1980838,18.71482003,309.1052684,313.1864995,309.3342721
20,627.9368965,4109.55311,-2.567406142,-26.56274101,21.81941321,1.118486203,193.7634342,19.29498136,310.2735528,314.0109489,310.4832816
21,606.3615614,4392.52702,-4.37714788,-28.06451729,21.76389837,1.022645063,197.0735043,20.00810987,311.37797,314.8227044,311.5695163
22,584.4769252,4689.152229,-6.343957557,-29.58207219,21.59344038,0.925924455,201.3010722,20.62974254,312.4641767,315.6141243,312.6387014
23,562.6935127,4991.858466,-8.339848227,-31.36249051,21.70139457,0.839657311,205.158636,21.54819389,313.5975998,316.4770665,313.7562575
24,541.3070506,5298.893859,-10.4676429,-32.80232474,22.10504402,0.775244135,207.8187824,22.45087936,314.6380423,317.3147074,314.7863946
25,520.3816353,5608.843696,-12.6235909,-34.66320459,22.07652638,0.687961639,210.3413541,23.60005463,315.6937837,318.0902175,315.8251613
26,499.9169533,5922.944937,-14.8877178,-36.10371413,22.7000143,0.628605119,212.1374861,24.87995039,316.6729741,318.878143,316.7928726
27,480.4197619,6230.749658,-17.10818194,-37.74350996,22.84109796,0.564516771,216.9779291,26.01401504,317.6515802,319.6469187,317.759467
28,460.0812896,6566.134279,-19.54355352,-39.54323812,23.46830838,0.512162722,220.7047822,27.31620732,318.7060472,320.5289246,318.805018
