PRES	HGHT	TEMP	DWPT	RELH	MIXR	DRCT	SKNT	THTA	THTE	THTV																								
1007.146309	103.9646562	18.56448874	13.52275256	59.969536	133.3986917	146.1623043	7.714645499	291.1209945	94614.67182	312.5933538																								
1002.241804	164.8745392	18.35764979	6.055817576	68.1472	132.1896567	144.118491	7.613997757	291.3210169	86922.03978	312.8777303																								
989.1762859	282.5046663	17.49270135	-1.018067474	77.44	126.3900093	127.2674742	8.896347357	291.5487235	57359.3558	312.916258																								
960.8419789	532.8432237	15.53470383	-7.229051896	88	115.2281045	119.5672247	9.808769032	292.001653	21097.61737	312.5635719																								
937.0677774	746.2527336	14.14449741	-14.1444974	100	107.5311759	128.7708802	10.1610043	292.6852259	12169.96263	309.2427848																								
916.7216435	932.7552797	14.94449741	-14.9444974	100	116.0243142	142.3925725	10.16395409	295.3486857	26242.14111	312.5303038																								
898.3961395	1103.806981	15.74449741	-15.7444974	100	124.6220849	159.099994	10.59373311	297.8841921	62285.75162	315.5480378																								
881.1037893	1269.182457	16.54449741	-16.5444974	100	134.127218	164.6834437	11.00784432	300.3741151	150632.5336	318.0863556																								
864.0020979	1440.574583	17.34449741	8.231877101	66.7473863	143.9811319	172.4748847	11.79328084	302.8967953	404711.4241	320.6559083																								
846.987339	1608.642966	16.68341367	14.57121727	60.60043294	140.2641982	173.3721359	12.66476734	303.9314579	314623.2291	319.6607527																								
829.4064076	1785.886446	16.00583142	21.92346399	53.92050821	137.2379077	171.4360145	13.59893765	305.0454016	269942.1508	318.791165																								
811.567818	1970.277852	15.28807578	29.13942113	47.94145899	134.1231103	169.5431073	14.50516227	306.1862558	231811.5445	318.1848832																								
793.862313	2157.033929	14.51323145	35.43494151	43.23186505	130.0628564	168.6785906	15.39405022	307.2962296	178962.8143	317.8312261																								
774.6300504	2364.42406	13.59613071	41.85399471	38.8602667	125.2623752	169.7389853	16.0948085	308.4725935	138094.3127	317.6860533																								
755.1035402	2579.902502	12.56902638	46.97683134	35.76900744	120.2643017	173.6866556	16.733065	309.6202099	86418.62749	317.7269691																								
735.4172467	2805.224506	11.52121318	51.83264915	33.03943393	115.0258583	176.6036272	17.11656273	310.8242414	58839.55571	318.0282655																								
714.5686879	3045.70648	10.25045122	55.86432832	31.07807631	108.8068947	182.0647697	17.45336846	311.9923595	35540.88203	318.4393114																								
693.3240902	3296.199061	8.886851938	59.68680324	29.36239739	102.2725173	184.6036766	17.73549429	313.1829275	19412.91078	318.9045552																								
672.0198561	3554.416321	7.38212883	62.06962295	28.61481375	95.33349263	187.6038875	18.13829826	314.3050256	10657.94356	319.5278934																								
650.4435108	3822.7144	5.752379883	64.94933785	27.64026415	87.88126724	190.1980838	18.71482003	315.4091433	5544.254337	320.0836434																								
627.9368965	4109.55311	3.970928898	66.91048172	27.27426651	80.33323138	193.7634342	19.29498136	316.5667878	2778.942114	320.7960422																								
606.3615614	4392.52702	2.16118716	68.38054121	27.20487296	73.13887097	197.0735043	20.00810987	317.6600528	1424.941916	321.5135629																								
584.4769252	4689.152229	0.194377483	70.21460455	26.99180048	65.87394359	201.3010722	20.62974254	318.723934	717.9128951	322.1769792																								
562.6935127	4991.858466	-1.801513187	71.47397996	27.12674321	59.13876604	205.158636	21.54819389	319.8524181	383.3942592	322.9804027																								
