PRES	HGHT	TEMP	DWPT	RELH	MIXR	DRCT	SKNT	THTA	THTE	THTV
1007.146309	103.9646562	18.56448874	18.44866063	90.912743	133.4526001	146.1623043	7.714645499	291.1209946	8.35E+82	314.8200153
1002.241804	164.8745392	18.35764979	18.25507845	91.89819128	132.3465436	144.118491	7.613997757	291.3210169	8.31E+81	314.839768
989.1762859	282.5046663	17.49270135	17.42577318	94.60404646	126.8652729	127.2674742	8.896347357	291.5487235	7.09E+77	314.1110426
960.8419789	532.8432237	15.53470383	15.53922574	100.3808007	115.0659448	119.5672247	9.808769032	292.001653	2.07E+69	312.4973151
937.0677774	746.2527336	14.14449741	14.13988759	99.60930434	107.7231236	128.7708802	10.1610043	292.6852259	6.30E+63	311.9178956
916.7216435	932.7552797	13.13120218	13.07576984	95.36723315	102.9902153	142.3925725	10.16395409	295.3486857	1.12E+60	313.9036808
898.3961395	1103.806981	12.28557498	12.16595922	90.21026274	99.34989241	159.099994	10.59373311	297.8841921	1.20E+57	315.9369972
881.1037893	1269.182457	11.54704932	11.3414236	83.68244343	96.42319533	164.6834437	11.00784432	300.3741151	4.04E+54	318.0415646
864.0020979	1440.574583	17.34449741	5.683525	66.7473863	96.11623627	172.4748847	11.79328084	302.8967953	404711.4241	320.6559083
846.987339	1608.642966	16.68341367	3.330271143	60.60043294	84.84060612	173.3721359	12.66476734	303.9314579	314623.2291	319.6607527
829.4064076	1785.886446	16.00583142	0.719354267	53.92050821	73.87109625	171.4360145	13.59893765	305.0454017	269942.1508	318.791165
811.567818	1970.277852	15.28807578	-1.975742884	47.94145899	64.24155505	169.5431073	14.50516227	306.1862557	231811.5445	318.1848832
793.862313	2157.033929	14.51323145	-4.442441764	43.23186505	56.20142457	168.6785906	15.39405022	307.2962297	178962.8143	317.8312261
774.6300504	2364.42406	13.59613071	-7.005869314	38.8602667	48.96393604	169.7389853	16.0948085	308.4725936	138094.3127	317.6860533
755.1035402	2579.902502	12.56902638	-9.227157954	35.76900744	42.92280893	173.6866556	16.733065	309.6202099	86418.62749	317.7269691
735.4172467	2805.224506	11.52121318	-11.37155484	33.03943393	37.99534902	176.6036272	17.11656273	310.8242414	58839.55571	318.0282655
714.5686879	3045.70648	10.25045122	-13.09217832	31.07807631	33.87510318	182.0647697	17.45336846	311.9923596	35540.88203	318.4393114
693.3240902	3296.199061	8.886851938	-14.88798619	29.36239739	29.94964534	184.6036766	17.73549429	313.1829275	19412.91078	318.9045552
672.0198561	3554.416321	7.38212883	-16.52023881	28.61481375	27.24130269	187.6038875	18.13829826	314.3050256	10657.94356	319.5278934
650.4435108	3822.7144	5.752379883	-18.23490686	27.64026415	24.29579219	190.1980838	18.71482003	315.4091433	5544.254337	320.0836434
627.9368965	4109.55311	3.970928898	-19.99184731	27.27426651	21.90123601	193.7634342	19.29498136	316.5667878	2778.942114	320.7960422
606.3615614	4392.52702	2.16118716	-21.49362359	27.20487296	19.88676213	197.0735043	20.00810987	317.6600527	1424.941916	321.5135629
584.4769252	4689.152229	0.194377483	-23.01117849	26.99180048	17.76060472	201.3010722	20.62974254	318.723934	717.9128951	322.1769792
562.6935127	4991.858466	-1.801513187	-24.79159681	27.12674321	16.03190524	205.158636	21.54819389	319.8524181	383.3942592	322.9804027
541.3070506	5298.893859	-3.92930786	-26.23143104	27.63130503	14.50643514	207.8187824	22.45087936	320.8806605	203.4698026	323.7201095
520.3816353	5608.843696	-6.08525586	-28.09231089	27.59565798	12.8043853	210.3413541	23.60005463	321.9203851	113.7018057	324.4348006
499.9169533	5922.944937	-8.34938276	-29.53282043	28.37501788	11.52025726	212.1374861	24.87995039	322.8748398	64.48114392	325.1437965
480.4197619	6230.749658	-10.5698469	-31.17261626	28.55137245	10.13573722	216.9779291	26.01401504	323.8309323	39.16165733	325.8331141
460.0812896	6566.134279	-13.00521848	-32.97234442	29.33538548	8.976627957	220.7047822	27.31620732	324.8212482	24.17072662	326.5998859
440.7264059	6891.947758	-15.41552038	-34.63836872	29.98329451	7.885606456	224.9662767	28.43181528	325.7918139	15.74745836	327.3589442
422.473034	7214.635614	-17.74837564	-36.47730906	30.2300562	6.831992701	226.0858429	29.68883976	326.7722307	10.88366647	328.1340591
403.304841	7562.697589	-20.30339147	-38.49314411	30.48204539	5.822070669	229.1736494	31.08308033	327.8279443	7.651381421	328.9922132
385.92172	7889.825907	-22.7142672	-40.4073889	30.96674521	5.016612724	232.8229513	32.45307188	328.8194645	5.698025372	329.825696
368.97871	8219.359089	-25.138438	-42.24396006	31.15695901	4.268503384	233.8310568	33.90080474	329.8447329	4.407410439	330.7035783
352.8830372	8543.570108	-27.46717942	-44.00533455	31.54882495	3.691212519	232.4363229	35.3256494	330.9423798	3.58402398	331.6875428
337.0255054	8873.372119	-29.81167402	-45.89285563	31.78734819	3.143768736	236.9467471	36.52729357	332.1230092	2.968256065	332.7599211
321.7288651	9205.299715	-32.08911733	-48.07444158	31.48379575	2.641490463	239.2680741	37.91262736	333.4145857	2.53935287	333.9518197
307.5888965	9519.878387	-34.22126463	-50.02582881	31.11983303	2.234404012	239.3745468	39.30099572	334.7408984	2.235544407	335.1971457
293.345081	9850.513303	-36.39168418	-51.96973631	30.5925954	1.872266838	241.8532917	40.53696274	336.2287935	1.99719452	336.6127946
279.5599556	10183.20925	-38.47543399	-53.95390535	30.10417469	1.577458754	242.9097617	41.62535217	337.8891015	1.817820734	338.2142352
267.3183053	10493.46431	-40.30659313	-55.81930514	29.19304289	1.33412206	244.3526199	42.4901348	339.5734579	1.691636775	339.8498077
254.9403482	10816.90057	-42.09600828	-57.75145849	28.7566325	1.1502653	244.167024	43.48098878	341.5639628	1.590829689	341.8036252
243.4087454	11129.08779	-43.73887003	-59.49286873	27.82682336	0.985069547	245.7864855	44.51415007	343.654739	1.513182507	343.8612385
232.8192968	11428.39062	-45.19335016	-61.19404665	26.93934605	0.856671204	248.781046	45.06747694	345.8476583	1.455104805	346.0283877
